# x/mm	U/mV	delU
63,5	42,9	0,1
70,0	40,3	0,1
80,0	27,9	0,1
90,0	9,4 	0,1
100,0	12,8	0,1
110,0	31,0	0,1
120,0	42,2	0,1
130,0	45,1	0,1
140,0	39,7	0,1
150,0	26,2	0,1
160,0	7,0 	0,1
170,0	15,5	0,1
180,0	33,2	0,1
190,0	42,6	0,1
200,0	44,1	0,1
210,0	36,4	0,1
220,0	21,0	0,1
230,0	2,0 	0,1
240,0	20,7	0,1
250,0	36,3	0,1
260,0	44,2	0,1
270,0	43,1	0,1
280,0	33,3	0,1
93,5	5,0 	0,2
98,5	10,0	0,2
89,0	15,0	0,2
104,5	20,0	0,2
# 87,5	25,0	0,2
97,0	5,0 	0,2
89,5	10,0	0,2
102,0	15,0	0,2
84,5	20,0	0,2
107,0	25,0	0,2
232,0	5,0 	0,2
225,5	10,0	0,2
237,5	15,0	0,2
220,0	20,0	0,2
242,0	25,0	0,2
228,0	5,0 	0,2
234,5	10,0	0,2
223,0	15,0	0,2
237,5	20,0	0,2
217,5	25,0	0,2
